	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50
org13	5623	6399	3486	1066	1176	6194	4600	9366	8757	5582	7714	9788	7161	9082	6393	6347	3665	7262	248	6860	7347	7254	1408	4241	8960	5915	4618	6939	709	3505	3455	8375	3060	6549	5217	6239	6179	4777	5710	3820	9568	183	199	3106	4890	373	2362	3302	8566	9619
org14	6895	6167	8047	6293	5265	4086	8354	2384	2425	1732	1346	2091	5717	7091	3020	5508	290	3620	7801	3824	3818	1049	460	3074	1005	6657	8552	5640	9547	898	6683	4939	4428	4169	4805	5810	239	247	8682	9961	4013	5721	2081	27	6619	5141	7611	7110	3231	5922
org15	8177	7065	5992	9784	1252	4083	5056	158	7478	4215	5481	9243	1170	6439	4670	8402	9151	9151	2531	9044	3539	1036	8032	4788	8777	1998	5260	8222	8864	6467	6589	6771	6409	197	9764	6608	8453	7376	349	9226	5851	5041	4581	5980	2790	395	1647	6719	7916	8420
org16	3754	2162	1285	9616	9517	6549	4692	2563	8389	6222	3491	3450	1105	380	6386	3509	4743	7472	9247	3510	4423	9130	1577	7595	3610	6109	4203	2277	7301	1362	4052	4779	9780	6925	7765	3254	5688	5918	6467	871	8610	1268	4725	9534	53	54	7509	7647	9554	5184
org17	7102	5873	3354	4061	3344	4065	1843	6508	5211	3625	6421	7838	1947	6741	8192	5809	700	9803	1961	4199	2053	1410	3607	6877	6311	2313	7952	3096	2563	9056	3902	4250	4894	4526	9688	843	1807	2790	3923	3750	9481	7765	7104	5303	2912	3711	5115	5190	1229	7513
org18	2333	1997	7498	9813	7273	6253	5796	1323	8215	6920	2407	4078	7979	7707	6397	7302	2933	3097	9511	8978	3343	2147	4748	5320	301	253	428	5227	6977	7162	2224	9163	7171	2428	4651	3997	1463	665	1308	7610	5058	376	9378	7550	7512	9047	636	4157	7836	5413
org19	5167	5093	6333	8162	5842	6804	6391	8317	3782	4933	5942	9339	49	6062	8612	3557	2380	9933	3566	1442	389	5176	9263	9990	1717	9751	8548	8992	5459	7236	7544	2165	3969	2392	8994	6004	6544	9618	6471	4557	1641	639	6184	9795	2818	6801	6523	3927	617	5428
org20	7941	6418	7647	4762	165	3056	876	6013	4421	5546	9272	9715	5446	3139	6917	7935	1026	7139	5643	2047	1525	6820	1015	8297	3447	653	6387	9122	2962	9356	7567	3396	6352	7459	6456	3022	7874	4535	7230	9261	1820	4137	6630	5202	1182	4437	7821	4553	6511	4921
org21	6905	2118	4046	31	7039	1544	7087	5869	2107	841	7636	1104	8531	7521	3072	2015	8709	2708	6204	8090	8696	3756	6403	3318	4623	380	4356	1610	4061	6847	9541	2584	8724	9195	3305	5090	9542	4928	4699	8209	7809	6311	6907	1494	1780	7152	8059	5834	308	452
org22	8284	5179	2426	2050	8531	7643	4315	9518	9546	7603	4245	2016	4563	6286	4488	6529	7489	904	4921	0	4328	9616	4113	7398	635	1247	8671	4093	7496	4201	2231	4395	5481	9038	4281	7545	2744	7769	5616	6137	6963	4226	5871	2721	3764	5386	99	5137	5128	6207
org23	6822	1945	1162	541	255	3555	3366	5185	9237	7756	4692	8958	2841	7462	45	5176	8450	5680	4132	8131	9925	1376	8728	4930	6733	6004	1784	8351	3603	621	7476	2001	4318	3917	6001	7700	1378	8141	8726	6641	4346	1329	9146	9763	4936	6100	4529	3408	6087	1331
org24	3926	8361	7436	5672	7757	5878	2978	921	5726	8550	8690	2245	4779	7217	3777	8649	7665	7403	4165	7099	9374	7340	8597	7318	6014	6026	3366	7962	1867	9734	9684	5097	8790	9002	509	4820	9545	3770	6257	38	8105	2726	258	6611	9683	2220	1691	5338	436	3561
org25	2838	2246	6213	6014	6419	2526	4213	5752	8211	720	6860	9866	9824	4247	586	3220	3936	2237	7552	3591	3419	8587	4209	887	2280	3720	258	2379	4217	2336	7497	9503	6829	952	6462	2887	475	5136	6760	8012	3659	7274	132	3089	4375	8879	3608	3046	2235	9397
org26	8808	3284	4572	1153	443	8617	5419	8629	3875	5962	2560	7961	1075	7648	6317	1532	5549	9908	8961	6871	6281	1796	4764	8721	5274	8795	8138	8891	7611	5167	9246	5163	3772	2494	6346	9877	8289	4478	5327	4178	851	8398	7188	4203	7851	5990	7677	7576	4147	3301
org27	6809	3086	2373	2942	8645	9196	1627	6724	8502	5730	3977	3443	5570	4792	5850	4794	6248	9303	7056	7964	6124	3883	3266	5601	9826	6001	2724	1222	7360	7721	8810	7463	4769	1893	9960	667	1411	577	3942	1792	713	1334	6821	7410	7949	411	1878	912	2466	7980
org28	9631	2707	5378	2056	8634	6111	721	7937	563	9855	6224	9568	6041	975	4046	675	5306	1928	9215	3500	1781	9226	3960	403	8167	7586	1827	985	2921	7033	776	6091	5949	2387	3501	3143	2365	9182	532	926	7831	7780	5984	9772	7655	9814	6020	5821	3891	6972
org29	3268	4076	937	2631	5724	3403	4088	6402	7264	1947	2685	1636	6040	2991	6809	6791	8163	4640	7552	4601	7980	1380	7608	1932	5037	8434	4038	5473	98	4370	299	4894	5170	3875	7939	4246	9564	2141	2253	7363	6771	583	221	7245	6081	2484	6875	6446	6054	1896
org30	8988	785	3276	8995	3391	9591	9711	3250	5717	3236	3866	4097	5373	2897	1811	7091	7245	5999	3921	2175	338	5048	1305	6129	5731	5782	3791	4587	7010	188	3246	3799	246	9162	2223	7130	7678	5165	2765	814	356	2215	1278	3701	9264	9359	618	5062	2911	9905
org31	7207	4200	1093	970	4275	8653	3948	6116	7473	5595	9794	4789	3911	5680	4115	9364	7243	843	5432	4541	1119	9020	9609	3145	2777	451	7780	2609	2206	962	2643	5780	9158	8264	2565	7211	5158	1768	5996	2865	3887	4755	3427	8607	7233	3470	5489	5869	524	6992
org32	9356	2171	3767	7181	3629	273	9133	8393	4319	80	9834	501	6578	603	1888	1097	9605	4457	1966	5892	7647	6911	8221	5038	9291	4259	1071	7991	895	6795	9954	5430	3807	3039	1569	288	5915	8623	9471	4669	6653	3879	1554	6141	72	9167	897	9628	1829	7094
org33	1116	8025	7222	9030	1736	9700	6911	1573	3293	5454	9563	2426	3585	5039	2044	8214	9141	5218	3171	3839	3761	3351	7151	2	8706	311	125	6532	1710	2106	2982	5676	2911	7920	1629	2502	6579	7819	2476	6655	7873	8661	5931	2236	2391	9207	9225	5033	7188	3727
org34	5441	6593	3382	6934	645	8224	2841	940	9601	5076	76	8961	1483	1401	9884	6014	2600	7654	3201	2251	1863	2490	9957	8763	7788	2059	5779	2712	936	4971	8941	8785	4592	3890	2173	9273	6396	2081	6044	1223	5338	3009	7071	9442	9216	9731	8267	9894	9917	3616
org35	7141	8352	6742	8742	7683	8591	8428	7319	883	1362	9353	5849	3721	1585	8243	9585	1178	2591	6972	1200	9457	3002	9045	150	2746	5742	5508	9202	2518	7134	1761	769	4082	6678	7053	5090	6633	7849	8640	2464	2528	3382	3297	9929	7031	5455	7284	5524	1861	389
org36	9555	1539	7411	4660	516	4050	1612	431	734	3808	5939	4131	6484	9066	2834	413	4064	8268	7959	6838	7007	4327	2174	73	619	7776	266	4659	1040	1434	5670	4575	2170	7456	2829	3643	2075	8090	4987	5483	406	1287	4201	2618	6285	6617	117	5032	8101	7939
org37	713	6	411	6937	9126	456	654	920	2563	7493	408	4878	108	6216	8983	4754	8699	7423	5144	9084	5742	539	3912	9445	8559	3682	43	4143	1311	6728	3607	1078	1402	5069	330	5100	9541	5806	4707	9924	7003	4662	3745	8306	6977	8283	7274	7216	1205	4846
org38	5456	1673	937	6580	3943	455	2555	6019	3864	7118	4560	6620	1183	5155	6471	3661	5775	2092	3909	5494	7567	8628	4001	3142	7280	136	4077	8742	6922	5946	4826	6426	1273	5326	9533	8227	5472	2875	3778	8700	4531	8398	3168	4814	1570	8219	8159	2586	1017	4340
org39	2326	2961	7829	5983	6579	2596	1701	306	3397	2798	2521	6347	7007	1391	9631	2034	2761	6702	102	8247	5886	2136	7079	9683	1966	8978	7567	2281	4271	7809	2619	5545	4364	6943	7102	7273	6018	3260	4456	9850	2824	1575	8436	9666	2263	2050	1510	7193	1254	2878
org40	784	5016	9996	1601	5298	1123	7555	3559	9654	7523	3443	8691	6979	6210	4701	8664	6464	5007	3702	9365	112	7333	9494	9049	4324	9966	5644	8212	970	6249	4156	7626	4902	3173	2464	9449	7933	1193	3828	9334	4340	2990	7302	4247	4273	7675	7763	1592	6205	1680
org41	369	9776	4076	7314	9826	7195	5417	2763	7575	9033	9860	3853	4577	8287	5349	9317	8861	452	6383	6375	4247	6356	4041	2510	566	4985	6372	5350	9892	7050	8233	4449	2932	6392	5067	1701	9944	8122	3730	7575	867	310	427	7826	9774	5551	9000	9189	9649	1611
org42	4568	8091	8450	6599	4930	4097	5220	8030	1346	6148	7494	4140	7645	4631	7761	847	5814	9909	2030	1076	2570	4713	4523	1872	6950	7896	6251	6481	157	9982	1556	3725	3596	4186	8848	3152	6111	3119	6227	2478	8934	6996	5726	1123	9335	5545	2822	2070	3343	2863
org43	8999	7567	6660	7711	5091	5799	7375	8161	3991	1708	3693	7883	5243	3319	4632	4250	1468	5014	4499	1393	8304	3187	1783	7207	5292	9974	520	7340	184	504	7576	7188	8606	3700	3954	71	2016	3724	6848	4070	821	6081	1876	6822	1044	5213	837	9427	5835	4900
org44	7356	956	3697	2519	6778	1010	7546	2767	8783	4262	7314	5302	7697	9250	188	8832	4654	1763	4167	5822	1627	5696	8120	6823	9410	6804	1369	4871	5483	763	4248	4149	741	292	4000	8453	5191	8783	2709	9777	4621	4174	7234	9237	7864	7344	131	5225	246	4309
org45	9295	1716	722	7846	950	6704	3792	9604	9915	7130	5162	4586	398	4772	2959	3987	6792	8881	1196	8144	9388	190	7124	9109	7074	7032	563	1527	5880	4468	9958	9138	3914	1621	8290	8056	2876	9501	8487	7342	4356	1720	2009	7314	6135	8233	8273	3628	2124	517
org46	9260	4765	9441	3746	4386	7656	2168	3638	6200	816	7460	9540	8095	5246	8010	3328	4160	2864	2427	3119	4268	8566	6485	4120	561	2711	3908	5271	5985	5561	2619	7838	9896	5309	7019	1062	4974	2946	2395	9272	6073	4544	1373	8725	9224	5541	3272	1049	2389	2660
org47	1823	7829	4502	2371	6817	5834	6997	2543	4215	2257	348	6310	970	7673	3793	1440	2908	8282	2120	4355	8040	7068	9197	3027	2853	8577	8893	6818	9993	7478	3445	3810	8124	7535	3917	5424	1291	6084	2372	4412	8497	9185	6622	4926	23	2280	2343	4477	8710	1327
org48	5976	8458	1847	4489	6873	8781	9372	3376	5191	9802	5425	6636	5178	7889	9353	6512	8388	3937	8034	7317	5997	5987	6467	4876	3098	7588	3639	6413	1531	987	5609	1354	6036	4122	1727	8261	8845	5079	5246	5655	5925	1671	1984	8455	8282	2706	9349	5936	3329	3881
org49	7066	3911	9726	2816	9802	1106	6674	1454	5966	8625	8195	4098	3187	5835	1129	7129	9979	1503	1249	5798	832	1488	8676	2702	81	7138	8723	606	6713	9391	6266	9370	8074	8607	8780	294	5920	6259	8106	4159	7924	2917	2476	2468	5767	6767	8289	8883	2518	8471
org50	1135	3435	743	9296	5757	7012	3005	1684	2882	3894	6644	9100	8406	7959	8069	9293	2545	5221	7074	9808	9675	6002	2981	249	8444	9205	6001	7507	7886	3571	8363	1401	6138	9236	7166	1156	5428	5748	2686	5605	3133	6167	9996	1991	9736	141	7748	6795	5099	1932
org51	9938	4790	4492	8384	3357	5168	935	7830	2631	7036	4248	9013	2062	3009	5546	6277	3399	1290	827	3659	3089	1895	6855	2374	6727	5811	9985	4208	6169	3220	1645	3839	1043	9989	7744	7552	8394	5636	2370	5836	854	7898	5540	7826	931	4320	7145	1101	3396	5481
org52	5888	5056	219	4352	1229	4823	2117	5753	3186	3086	2111	9525	9863	147	3455	9282	2134	2871	637	6958	3688	1232	5312	6832	5505	9321	3550	5050	6888	9957	7551	5720	4128	1986	3528	407	3773	3974	6263	1849	6416	6364	687	3954	3051	7546	8122	8249	1465	5068
org53	2338	3462	7583	3213	5352	1911	9251	6991	6505	7907	8830	9161	7546	5076	7133	4411	6224	2339	1178	4322	1767	5243	9937	7082	8104	688	5183	8881	5582	451	40	8735	1972	685	3254	2732	1438	4139	2863	5873	3182	7511	5552	4101	3308	3564	1213	2865	8984	1293
org54	4493	5034	6856	7327	3117	2687	1702	5536	7368	9673	1446	7281	8348	6812	9039	1424	3944	793	9547	3568	9720	2616	3691	72	1539	7827	5841	6917	2559	5966	3537	6674	9460	1293	1825	9477	3328	9712	5842	4146	852	1267	817	3671	6552	6335	1663	6775	1552	9169
org55	5738	4033	2227	1335	8285	5315	8659	3035	7719	1474	3540	2335	4867	5459	4433	4722	5093	766	8622	6026	2083	3035	2008	7279	1836	8722	517	9122	8338	808	115	5275	9140	7778	1061	3957	3046	6595	4185	9871	9130	7960	12	2738	1117	4623	2313	1035	908	4502
org56	1899	2679	2078	6248	7440	3407	1614	8118	8053	6985	3652	4206	2630	923	9310	8745	6939	8856	2726	542	1040	8781	6606	5703	6867	616	1225	4422	3865	8619	7123	9426	2160	8796	7701	979	3409	105	5739	7629	5255	1910	3898	2762	7827	2733	7502	8632	3306	4582
org57	5677	2019	2513	376	1735	9571	3330	33	2536	3702	1974	2918	5839	6338	4127	9425	1122	32	1692	6555	1907	8169	9748	4456	9413	8455	9488	6152	8626	6125	8092	5674	5115	116	4547	6972	3257	358	4388	238	8331	9424	4801	4111	1761	8903	6621	8001	9921	4964
org58	1111	4399	4987	9700	3498	76	955	7708	4616	6540	3959	8724	1350	6960	6491	6403	3664	4857	5091	2742	5088	3983	965	3128	3231	9508	8421	9003	7196	4107	5804	105	6020	6377	7460	8068	3759	7334	8508	460	3921	7944	7818	5207	7137	5794	8126	8956	2013	1909
org59	8878	4105	9170	4486	4959	4401	732	5342	5141	3535	111	5279	5351	7179	7291	4559	326	5544	3994	5987	1536	2340	4761	5182	8507	1266	3604	3323	206	1634	7762	8152	6402	802	5533	3560	8155	8766	4551	7228	2620	8257	1725	8788	7369	1718	8298	5497	5415	2602
org60	5928	5449	8335	3580	6205	2604	4020	5787	5490	97	6958	5055	8472	1760	6786	6410	705	2192	4456	1263	937	5487	571	7511	9159	8098	2340	4656	1678	7570	1295	4319	9709	8011	2611	5993	6033	7399	6202	8675	1328	9875	4797	8938	9189	1443	3013	3940	7991	3280
org61	8762	4316	1602	4547	9171	1772	9565	1182	4122	2542	2590	6101	860	1428	3378	4196	5130	8795	1256	6580	6297	4471	1130	6869	7362	5363	9039	4435	4241	7760	3933	4697	2718	7373	8414	9957	7113	434	3743	7364	3338	4189	2887	8675	7217	8607	8796	9192	9738	269
org62	9481	1451	6595	8075	5112	9436	8742	2917	8531	8259	6045	7609	7786	5140	3488	7487	1335	606	12	3572	697	6731	5931	6797	1423	8188	1573	6096	7741	7126	3423	3840	135	3990	1053	1660	2887	4438	1131	4657	5566	7116	6150	5327	7026	1423	1889	6139	7483	6926
org63	4472	7662	9531	5994	5970	6559	6961	5161	9301	4994	5945	828	4833	9291	6935	9214	6105	3601	4215	7125	9310	3371	9432	5571	9482	6589	591	1497	4854	746	5451	2782	9102	9963	1044	8212	1220	3049	6796	1163	4233	7043	9496	561	7619	2219	9970	122	9968	1424
org64	6127	1968	4317	3771	4393	97	7848	635	2548	9416	3743	3948	2746	3530	4913	8377	1493	5039	3189	172	6832	5615	3946	8462	9609	1557	879	4635	3548	4019	7000	4857	8776	203	5555	9270	5339	9796	4757	2439	6591	3170	6027	8380	2097	8017	2821	1233	9771	3703
org65	2096	6677	4948	1470	5319	8142	1914	5069	6173	3886	87	7615	5497	4164	3452	487	9852	7124	3415	6613	8589	6974	9365	6005	7700	4246	1036	144	9745	4845	4942	4995	9556	705	3922	5347	9128	4823	6134	2975	2908	4020	8229	7232	3426	888	3431	5745	7817	6391
org66	5332	1920	8293	6829	2019	7904	571	8908	6790	1352	4621	5323	1484	4540	1569	8434	6668	4639	3593	5518	1843	2596	7490	8415	4918	6186	3446	8230	3083	8168	5442	973	6184	7758	5052	6897	9532	8	1281	2281	609	5753	4562	4775	3361	8952	5458	7284	7558	6643
org67	7764	2586	4547	3450	1937	6201	7721	3368	537	4263	3896	8657	5881	8141	9981	6084	8318	2990	8517	8847	4244	5255	1340	7617	2153	4192	1661	6197	7026	6311	6995	8606	8702	6652	8482	2647	5484	4130	2456	508	4921	5084	2367	3700	3409	9848	4750	5254	7249	3220
org68	6353	7716	3906	5037	261	7037	4610	8186	1828	172	3878	3450	2521	1279	2377	3005	5147	3650	4637	3165	5759	6840	6201	1816	4198	2823	9857	7169	8097	7404	9010	2074	5902	456	5278	9946	6437	1998	8347	3628	4948	3496	1276	9213	2477	1951	8818	11	406	8183
org69	6780	919	3460	9241	6683	5941	9997	1374	1356	3944	6777	6426	4685	2614	3506	8399	415	2618	9627	4826	4740	5703	3318	17	3815	399	6322	9759	6401	2315	4424	498	6336	4366	6546	9557	9931	1724	9176	3817	2047	7645	9839	9622	7562	360	1275	7983	4310	8437
org70	5462	1062	7278	8899	6567	9546	3339	9575	5694	54	8452	5718	6771	8926	5180	5304	9225	7287	5183	4535	7392	7096	6944	5906	8075	7717	1263	7439	8092	226	6071	7079	4499	8248	2013	436	5017	7420	8140	5849	6034	7920	4891	6875	1130	3790	7824	4032	3944	4177
org71	5402	1639	8256	3746	1971	8786	4668	2086	2169	5527	2162	8081	8184	4665	2688	3499	8278	808	4457	8695	940	7540	9218	9663	5826	3179	949	9234	6456	7059	8215	2199	272	4488	1909	2102	3460	4736	7844	5216	9089	7477	8260	8471	8815	8217	9588	3733	7480	8428
org72	2336	6924	3941	7848	790	2743	3752	7197	7791	4477	4502	8312	4751	8705	2965	5203	1133	1000	170	9679	3275	5743	7078	1070	5431	91	1727	4490	2623	8072	3444	3939	2204	2381	6665	6511	5918	565	4566	5620	3166	2732	1955	5297	3870	4551	4024	7019	8845	4138
org73	2084	7090	238	5456	2492	3475	4013	1360	9720	3221	3186	4459	3455	9136	357	7095	4270	4265	1606	4131	2222	4193	5473	2568	6189	4488	6672	2620	8262	5470	304	4743	3933	1938	1508	2858	9739	2444	473	5953	3529	8684	4564	7279	5627	1148	550	9518	7217	1862
org74	2719	4778	4900	8681	9541	9942	8040	3960	223	5830	5775	1728	5254	3391	123	8966	3236	7108	50	5136	2807	4099	5817	56	1426	435	7511	8567	2965	2061	5503	5196	2428	9157	5403	288	8082	8253	7058	6521	2686	1972	2459	6719	8936	7713	1119	7074	9260	736
org75	9539	2722	6978	1373	8070	3900	7214	366	852	6281	8135	8075	7580	4782	8454	2883	4085	8989	369	7571	8940	4881	426	4506	1052	9831	5076	2625	2031	2735	1898	2705	6085	9313	5703	7214	5581	7238	5449	6343	7740	6183	6996	4819	2707	245	9118	8470	5479	986
org76	3559	9943	3619	2576	6125	3657	5261	6121	8512	9347	5414	2560	6234	4403	1895	220	326	9758	3618	3538	5907	3177	5365	2410	9809	3681	4541	4691	384	5788	571	2061	9587	9999	1560	5558	365	5610	343	9004	974	4377	1441	2849	4807	1108	9685	7956	2162	1788
org77	4890	1669	3017	2572	7082	9379	721	4676	5002	5393	9928	3026	2083	4550	3187	8203	2994	8135	3465	4640	7665	559	5118	5036	9278	4105	3465	7649	1929	9181	5616	2149	385	8896	9012	3768	6072	1800	720	9487	3641	1545	8175	5922	1920	6928	5071	4073	8279	7739
org78	7182	5132	9788	1612	5829	3485	4176	4971	4843	7927	5703	5860	4418	6007	588	523	8846	3297	1877	1198	9292	8956	7645	8867	1649	2746	6832	2481	643	9046	7682	4759	4971	1559	4690	5813	6748	1526	4983	4636	8293	5191	984	9503	3020	8751	4965	4401	2379	7144
org79	6572	8856	9562	201	6937	3911	5773	723	4464	39	383	8319	5851	722	7471	9042	8322	9019	528	2638	2775	3919	2510	8728	2597	3134	9585	5084	6710	7985	9028	1649	3675	8166	5190	5601	7823	3571	6209	6821	1071	8848	8501	4413	2968	8714	5072	4179	2884	7754
org80	6443	4310	7712	6614	4334	6573	6841	3702	7348	4652	5257	4938	2280	4779	7561	129	2522	4442	7150	1877	1352	6222	4074	9042	4773	3554	1942	956	3343	8907	391	2700	6404	7597	6807	5626	4760	3408	3486	419	5093	5730	1640	1359	1444	9975	1670	2666	5351	3278
org81	4472	3410	6137	5581	9347	8627	2831	558	6549	9773	8163	3264	1880	9724	5268	2313	5138	476	6144	8506	9041	7599	9114	406	3762	9897	9467	8093	6619	4973	9705	5322	926	7423	114	4487	6264	3604	3610	5816	7271	5351	9828	6506	4333	7434	2533	3751	7500	3014
org82	8111	4062	7512	4315	347	1964	2384	8131	314	2126	1418	2509	9468	3081	7458	5312	2762	4422	3222	2796	428	9638	7832	1403	3565	3362	8722	3928	2301	1399	1233	3765	7065	6257	4337	1396	3000	7569	8026	9309	751	1498	4673	99	5945	4980	839	4018	4385	1780
org83	9435	5918	7004	8589	8874	3828	7313	1081	8757	6949	7194	7975	3026	3479	2220	536	1204	3872	3607	1518	998	6561	8815	2030	735	4104	5282	4933	4229	4882	5214	7306	4065	716	2677	163	9422	6239	5854	5836	2008	7496	8647	6845	9083	7878	2612	7792	4968	6693
org84	2339	6011	4235	9988	9807	8140	6963	9674	5079	653	5999	7663	580	0	7668	438	9516	3393	6046	7029	5680	2036	5636	3622	8265	1698	4175	6587	5361	9824	8691	3024	7730	5067	7243	6960	6816	3749	9173	2690	1383	3623	2420	2263	5871	782	5642	2455	6438	5824
org85	514	4974	1043	973	269	5063	2326	5183	3418	4632	3008	4560	7217	9249	1472	4096	9944	389	8546	2098	6981	2226	1840	7974	6944	7924	1927	1577	2596	4369	7847	7188	5489	8170	2650	753	7693	4083	1798	9688	8739	6930	3218	9263	5901	8325	7811	7223	2343	5438
org86	6397	8880	6675	1033	8717	511	6330	1029	8680	8152	419	1341	5323	612	9942	7794	1312	3207	492	609	9063	695	7071	4828	1040	3076	2968	2066	2183	278	3347	5260	4662	8777	4692	9022	5413	1695	344	9257	2568	5544	5218	5887	6405	2197	4729	3477	4312	2092
org87	7532	6675	6875	7761	1132	6628	7829	7216	1777	7634	754	3028	3811	7363	7992	2388	1950	6495	5199	4669	1420	7920	5866	4059	1844	3335	3523	532	9357	1850	3254	6762	4639	1784	9294	6090	238	4751	4725	3407	9500	9847	8512	6385	1625	7394	6856	1965	8199	2390
org88	2438	7459	502	8324	8033	2015	9546	1915	9245	23	9530	8564	7347	6762	4732	625	422	7946	1742	6624	4884	2654	1967	1986	9027	3801	2824	7993	1717	1250	1672	591	3068	9603	7010	4001	8376	9767	1620	5783	6691	8961	2662	3428	1936	9756	3916	9890	3348	8506
org89	3025	7417	515	9360	7734	8176	1453	3815	5960	8452	7344	1171	741	6798	9061	4524	9231	7700	1829	710	1292	7478	6019	3006	1091	4287	9275	5632	4508	3103	6498	1686	5895	5567	6738	2438	115	4339	3768	7188	4916	2821	1506	1528	1948	432	1705	5523	4963	156
org90	947	2388	4144	4396	6648	7574	5091	8184	1232	8946	7551	5117	5288	5581	8765	1754	8948	6711	2300	4544	4604	1096	2173	7242	7409	6384	6126	5416	5611	5159	2736	7190	6452	5272	5693	9550	4537	3095	1226	4481	8888	2215	817	1963	7292	9178	4627	1415	2124	2206
org91	5947	5693	8836	983	1770	385	3476	2044	6553	2078	6624	7629	4249	899	9452	5175	294	8806	2933	5170	954	3418	4333	5918	6297	5787	3647	9030	3429	22	6364	601	8332	9142	559	7924	3853	1791	6069	8370	2739	1211	6719	5288	7834	9077	9577	7400	7944	5660
